#Coverage	Number of genomic locations
0.0	2814774.0
1.0	7847102.0
2.0	6278492.0
3.0	7060707.0
4.0	7950669.0
5.0	8640585.0
6.0	9207233.0
7.0	9225650.0
8.0	9142401.0
9.0	9980980.0
10.0	1.1569995E7
11.0	1.3553561E7
12.0	1.6844899E7
13.0	2.1573991E7
14.0	2.7872466E7
15.0	3.6282554E7
16.0	4.7395978E7
17.0	6.2038067E7
18.0	7.9381751E7
19.0	1.00115509E8
20.0	1.22499963E8
21.0	1.45879313E8
22.0	1.67857825E8
23.0	1.88643252E8
24.0	2.04625717E8
25.0	2.13550226E8
26.0	2.16227889E8
27.0	2.1253864E8
28.0	2.01521429E8
29.0	1.86311018E8
30.0	1.66511954E8
31.0	1.44805994E8
32.0	1.22094735E8
33.0	1.00440479E8
34.0	8.0622398E7
35.0	6.3191756E7
36.0	4.7788338E7
37.0	3.5372267E7
38.0	2.5888409E7
39.0	1.8370216E7
40.0	1.2958516E7
41.0	9053704.0
42.0	6225351.0
43.0	4202008.0
44.0	2826678.0
45.0	1967263.0
46.0	1353975.0
47.0	1016496.0
48.0	770046.0
49.0	663836.0
50.0	538052.0
51.0	481277.0
52.0	437576.0
53.0	419765.0
54.0	404216.0
55.0	427045.0
56.0	395665.0
57.0	372489.0
58.0	363362.0
59.0	378270.0
60.0	374235.0
61.0	339254.0
62.0	327481.0
63.0	325497.0
64.0	312300.0
65.0	302138.0
66.0	307581.0
67.0	294199.0
68.0	302000.0
69.0	306635.0
70.0	296584.0
71.0	286879.0
72.0	287774.0
73.0	282482.0
74.0	271511.0
75.0	251733.0
76.0	261284.0
77.0	235763.0
78.0	229633.0
79.0	243942.0
80.0	234676.0
81.0	232407.0
82.0	236321.0
83.0	238047.0
84.0	218880.0
85.0	230739.0
86.0	223967.0
87.0	211183.0
88.0	210651.0
89.0	210554.0
90.0	210610.0
91.0	208459.0
92.0	218950.0
93.0	196360.0
94.0	194042.0
95.0	193955.0
96.0	197125.0
97.0	192564.0
98.0	193959.0
99.0	190764.0
100.0	176288.0
101.0	174182.0
102.0	175025.0
103.0	177232.0
104.0	171047.0
105.0	158223.0
106.0	161737.0
107.0	167602.0
108.0	153409.0
109.0	156781.0
110.0	149746.0
111.0	158077.0
112.0	158051.0
113.0	146248.0
114.0	147047.0
115.0	145906.0
116.0	144302.0
117.0	141991.0
118.0	136392.0
119.0	130488.0
120.0	122515.0
121.0	125062.0
122.0	126508.0
123.0	122778.0
124.0	127253.0
125.0	118715.0
126.0	125210.0
127.0	120248.0
128.0	112376.0
129.0	114104.0
130.0	113814.0
131.0	117471.0
132.0	119659.0
133.0	126101.0
