#GC Content (%)	Sample
1.0	4.431137711982276E-7
2.0	7.696186552390269E-7
3.0	5.014182147769417E-7
4.0	3.148439953250564E-7
5.0	4.664355486297132E-7
6.0	3.7314843890377063E-7
7.0	3.848093276195134E-7
8.0	4.0813110505099903E-7
9.0	2.5653955174634223E-7
10.0	3.7314843890377063E-7
11.0	8.395839875334838E-7
12.0	1.3351717579525542E-5
13.0	8.007532281100602E-5
14.0	1.730475885416236E-4
15.0	2.2915978504177813E-4
16.0	2.537176166771325E-4
17.0	3.428184673541235E-4
18.0	4.549612341334223E-4
19.0	6.155316717492011E-4
20.0	7.717292760965761E-4
21.0	9.272388880097227E-4
22.0	0.0011829271948798157
23.0	0.001574931290836942
24.0	0.0021021317305643917
25.0	0.0035326312537681433
26.0	0.0038286778964834226
27.0	0.0044296917617815245
28.0	0.005227623054822375
29.0	0.006234680726091356
30.0	0.00786206269437171
31.0	0.010070016990031468
32.0	0.01342578754464794
33.0	0.01568657732707873
34.0	0.019141243878893415
35.0	0.025182820287852067
36.0	0.030542619516267383
37.0	0.03481835256433496
38.0	0.04228827123208495
39.0	0.052035864649126136
40.0	0.06740062476942779
41.0	0.0846176470968929
42.0	0.09808087775520709
43.0	0.08961031490498177
44.0	0.069832747989759
45.0	0.05413729672636759
46.0	0.046296107022797045
47.0	0.03889438123225671
48.0	0.030044443028553428
49.0	0.0257643021645513
50.0	0.022968604094951956
51.0	0.020838008135032435
52.0	0.012801137057923026
53.0	0.012253483419388167
54.0	0.011085645414506521
55.0	0.009725496032924847
56.0	0.0066250872802944265
57.0	0.004203773703802722
58.0	0.0028337708712562436
59.0	0.0020119930607916995
60.0	0.001701335324515595
61.0	0.0016501440230534837
62.0	0.001281041912534076
63.0	7.889174260635812E-4
64.0	6.125931277928339E-4
65.0	4.2915568740548336E-4
66.0	3.0041947598368255E-4
67.0	1.1861456001653609E-4
68.0	2.7531358257868824E-5
69.0	2.1234478351367692E-5
70.0	8.745666536807123E-7
71.0	3.4982666147228483E-7
72.0	2.448786630305994E-7
73.0	2.565395517463423E-7
74.0	2.3321777431485656E-7
75.0	3.1484399532505643E-7
76.0	2.5653955174634223E-7
77.0	2.0989599688337095E-7
78.0	1.7491333073614244E-7
79.0	2.7986132917782787E-7
80.0	2.9152221789357074E-7
81.0	3.0318310660931356E-7
82.0	1.7491333073614244E-7
83.0	2.0989599688337093E-7
84.0	2.6820044046208505E-7
85.0	1.3993066458891396E-7
86.0	2.3321777431485656E-7
87.0	9.328710972594264E-8
88.0	1.5159155330465678E-7
89.0	1.6325244202039962E-7
90.0	1.7491333073614247E-7
91.0	1.5159155330465678E-7
92.0	1.1660888715742831E-7
93.0	1.0494799844168548E-7
94.0	1.1660888715742831E-7
95.0	3.1484399532505643E-7
96.0	6.763315455130842E-7
97.0	7.812795439547697E-7
98.0	9.212102085436835E-7
99.0	5.48061769639913E-7
100.0	4.664355486297132E-7
