#Mapping quality	mapping quality
0.0	1.21113361E8
1.0	2.483275E7
2.0	1.2107046E7
3.0	1.2383691E7
4.0	1.3991248E7
5.0	1.4778239E7
6.0	1.523981E7
7.0	1.4438856E7
8.0	1.3216275E7
9.0	1.1456779E7
10.0	9531680.0
11.0	7423449.0
12.0	6231729.0
13.0	4553398.0
14.0	4186041.0
15.0	3500471.0
16.0	3018021.0
17.0	2737962.0
18.0	2655810.0
19.0	2615944.0
20.0	2514876.0
21.0	2506422.0
22.0	2516941.0
23.0	2545976.0
24.0	2697597.0
25.0	2686071.0
26.0	2724244.0
27.0	2706239.0
28.0	2883328.0
29.0	3175061.0
30.0	3452744.0
31.0	3365948.0
32.0	3362850.0
33.0	3789668.0
34.0	3724537.0
35.0	3941858.0
36.0	4284190.0
37.0	4455423.0
38.0	4955283.0
39.0	5236360.0
40.0	5864445.0
41.0	6368940.0
42.0	6523384.0
43.0	7064454.0
44.0	7559160.0
45.0	8406835.0
46.0	9277700.0
47.0	1.0061752E7
48.0	1.1076721E7
49.0	1.2566387E7
50.0	1.4469398E7
51.0	1.6369542E7
52.0	1.913338E7
53.0	2.311179E7
54.0	2.8644812E7
55.0	3.6281955E7
56.0	4.7585566E7
57.0	6.6870305E7
58.0	1.0843851E8
59.0	2.73082783E8
60.0	2.141003903E9
